,strong,name
214,08188,梭琳
1309,04723,古厄
1489,08234,沙斐
1634,05179,尼護施她
1668,03026,伊迦爾撒哈杜他
1755,05180,尼忽士但
1783,07425,利瑪利
1826,01834,大馬士革
2226,08485,提瑪
2483,05964,亞拉篾或阿勒篾
3258,03844,黎巴嫩
4980,04265,瑪哈尼但
5396,02313,底格里斯
5423,06204,俄珥巴
5471,02579,哈馬或哈末
5644,01045,伯・亞斯她錄
5648,03416,伊利毗勒
5653,04644,摩弗
5709,04313,美耶昆
5721,06865,泰爾
5737,06503,遊廊
5762,08118,撒馬利亞人
5865,08111,撒馬利亞
5884,06876,泰爾人
6288,01037,米羅
6503,04105,米希她別
6551,05514,西奈
6783,01255,米羅達・巴拉但
7124,00071,亞罷拿
7125,00025,耶利
7292,00760,瑣巴
7441,01453,基底羅他音
7590,03012,伊基大利
7805,08613,陀斐特
7891,00211,俄斐
7933,00498,伊利烏賽
7980,00763,美索不達米亞
8043,01056,巴卡
8522,08115,撒馬利亞
8525,08227,沙番
8904,04515,拉丁文
8949,01665,伊利莎白
9060,04567,撒但
9164,03818,帕卡底亞那
9200,02890,括土
9313,04523,撒都該人
9472,02446,約旦
9559,01154,大馬士革
9594,02834,革尼土
9697,02333,杜達
9979,00128,衣索匹亞
9996,01148,大瑪努他
9998,03496,尼亞波利
10009,02587,加帕多家
10299,02482,意大利
10598,05175,特羅基利翁
10784,05086,提庇留
10823,02131,友妮基
10856,02136,友阿蝶
10942,03002,達太
10964,02203,宙斯
11024,02882,哥林多
11029,04540,撒馬利亞
11038,02914,克里特
11052,04614,西奈
11324,04513,拉丁文
11630,01946,伊壁鳩魯
12101,02541,凱撒
12103,02582,甘大基
12104,03505,尼錄
12173,05060,德提
12210,03682,阿尼西謀
12337,03497,敘利亞/乃縵
12486,03318,美索不達米亞
12680,05061,帖土羅
12742,03533,尼哥坡里
12804,05323,法內力
12846,05405,菲尼基
12990,02954,塞浦路斯
13304,03194,馬耳他
13487,00959,百妮基
13530,01220,得拿利
13552,02404,希拉坡里
13724,04681,西班牙
13750,05184,泰爾
13809,00099,亞得里亞
13852,00295,暗妃坡里
14150,00223,亞歷山大
14219,00688,阿拉伯
14232,00828,奧古斯都
14272,01179,低加坡里
14348,02542,凱撒利亞
14468,00697,亞略巴古
14474,03033,利比亞
